player_id,season,team,category,subcategory,games,plate_appearances,at_bats,hits,home_runs,runs,rbis,walks,strikeouts,stolen_bases,singles,doubles,triples,intentional_walks,hit_by_pitch,sacrifice_flies,sacrifice_bunts,gidp,caught_stealing,babip,avg,ops,woba,war,bb_pct,k_pct,bb_k_ratio,iso,ab_hr_ratio,rc,rc27,wrc,spd,wsb,wraa
1321,2023,삼성,weekday,2-2,11.0,16,15.0,3.0,0.0,1.0,1.0,1.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.25,0.2,0.45,0.218,0.59,6.2,18.8,0.33,0.0,-,0.61,1.27,0.17,-0.27,0.01,-1.88
1321,2023,삼성,weekday,3-3,9.0,21,18.0,6.0,1.0,1.0,2.0,3.0,7.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.333,0.929,0.415,0.59,14.3,33.3,0.43,0.167,18.0,4.19,9.43,4.01,1.81,0.02,1.31
1321,2023,삼성,weekday,4-4,10.0,20,15.0,1.0,0.0,1.0,0.0,3.0,3.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.083,0.067,0.33,0.175,0.59,15.0,15.0,1.0,0.0,-,0.35,0.55,-0.56,2.2,-0.45,-3.13
1321,2023,삼성,weekday,5-5,8.0,18,16.0,4.0,0.0,2.0,0.0,1.0,5.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.364,0.25,0.708,0.326,0.59,5.6,27.8,0.2,0.125,-,1.81,3.76,1.98,0.68,0.01,-0.34
1321,2023,삼성,weekday,6-6,10.0,26,19.0,2.0,0.0,1.0,3.0,6.0,8.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.182,0.105,0.504,0.281,0.59,23.1,30.8,0.75,0.053,-,1.67,2.65,1.79,2.53,0.02,-1.55
1321,2024,삼성,month,3-3,4.0,11,9.0,3.0,0.0,2.0,1.0,2.0,2.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.429,0.333,0.899,0.414,0.59,18.2,18.2,1.0,0.111,-,2.05,9.25,2.08,3.81,0.01,0.67
1321,2024,삼성,month,4-4,6.0,12,11.0,1.0,0.0,1.0,0.0,1.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.125,0.091,0.258,0.137,0.59,8.3,25.0,0.33,0.0,-,0.11,0.26,-0.75,-0.69,0.01,-2.29
1321,2024,삼성,outcount,0-0,6.0,7,6.0,1.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.2,0.167,0.619,0.284,0.59,14.3,14.3,1.0,0.166,-,0.32,1.45,0.5,-1.19,0.0,-0.4
1321,2024,삼성,pitchside,left,3.0,8,6.0,2.0,0.0,1.0,1.0,2.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.333,0.833,0.411,0.59,25.0,12.5,2.0,0.0,-,1.26,8.51,1.49,3.06,0.01,0.47
1321,2024,삼성,pitchside,right,9.0,15,14.0,2.0,0.0,2.0,0.0,1.0,4.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.2,0.143,0.414,0.194,0.59,6.7,26.7,0.25,0.071,-,0.43,0.9,-0.16,1.15,0.01,-2.08
1321,2024,삼성,total,total,10.0,23,20.0,4.0,0.0,3.0,1.0,3.0,5.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.267,0.2,0.554,0.271,-0.09,13.0,21.7,0.6,0.05,-,1.51,2.4,1.48,1.29,0.01,-1.63
1321,2024,삼성,weekday,1-1,2.0,4,3.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.25,0.181,0.59,25.0,25.0,1.0,0.0,-,0.0,0.0,-0.09,-18.19,0.0,-0.6
1321,2024,삼성,weekday,2-2,1.0,1,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3463333333333333,0.0,0.0,0.0,0.59,0.0,100.0,0.0,0.0,-,0.0,0.0,-0.19,-,0.0,-0.32
1321,2024,삼성,weekday,3-3,2.0,2,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.59,0.0,50.0,0.0,0.0,-,0.0,0.0,-0.37,-,0.0,-0.63
1321,2024,삼성,weekday,4-4,1.0,4,4.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.333,0.25,0.5,0.23,0.59,0.0,25.0,0.0,0.0,-,0.25,2.25,0.09,6.81,0.0,-0.43
1321,2024,삼성,weekday,5-5,2.0,9,8.0,2.0,0.0,1.0,1.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.286,0.25,0.583,0.285,0.59,11.1,11.1,1.0,0.0,-,0.75,3.39,0.65,3.48,0.01,-0.51
1321,2024,삼성,weekday,6-6,2.0,3,2.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,1.667,0.664,0.59,33.3,0.0,-,0.5,-,1.51,40.68,1.25,4.31,0.0,0.86
